,bldg_Building_gml_id,value_building_per_sqare_meter,value_indoor_movable_property,floor_height,value_building,value_building_Above,value_building_Below,value_contents_Above,value_contents_Below,value_contents
38,bldg_42b06460-5452-4df6-9629-65474f3d21cb,20000,0,3.1646999999987506,1730219.2559589867,0.0,0.0,0.0,0.0,0.0
39,bldg_a45b7219-3bfc-4a4f-9d5a-5a638711497e,20000,0,3.7197999999989406,2816000.0,0.0,0.0,0.0,0.0,0.0
40,bldg_3cd25ddf-7813-448b-a654-ae1f87cd8e08,20000,0,2.474099999999453,3000000.0,0.0,0.0,0.0,0.0,0.0
41,bldg_d5afb73e-5550-436d-a38d-9cbc881db1e7,20000,0,4.986900000003516,2626000.0,0.0,0.0,0.0,0.0,0.0
42,bldg_76e7b896-c0ff-4474-ac38-312177af0faf,20000,0,5.319700000007288,34240000.0,0.0,0.0,0.0,0.0,0.0
43,bldg_f68de54d-8fad-4c88-86cd-d293ccac68ef,20000,0,3.0,678000.0,0.0,0.0,0.0,0.0,0.0
44,bldg_90b71766-d80a-41d2-993d-3a1c8eb10eb2,20000,0,4.408100000000559,790000.0,0.0,0.0,0.0,0.0,0.0
45,bldg_61826963-2b1b-41c3-a68e-5daf7f4f4287,20000,0,3.1679000000003725,868264.7910245046,0.0,0.0,0.0,0.0,0.0
46,bldg_824d1855-82d7-4046-a007-cef16783dbcb,20000,0,4.943499999993946,2714000.0,0.0,0.0,0.0,0.0,0.0
47,bldg_57236db5-2b2a-47cd-9bc8-4bd8f6089ee6,20000,0,3.483699999997043,2796000.0,0.0,0.0,0.0,0.0,0.0
48,bldg_485fbb97-dbc0-4d32-84c0-86ec112af1a1,20000,0,3.0,520000.0,0.0,0.0,0.0,0.0,0.0
49,bldg_46dacf5b-7fa6-4597-8a4c-62053e051adb,20000,0,2.4205500000025495,5915000.723340719,0.0,0.0,0.0,0.0,0.0
50,bldg_736ac87a-0090-4ef3-8a4f-7a07fa55581f,20000,0,3.0,498000.0,0.0,0.0,0.0,0.0,0.0
51,bldg_5f2a3be5-e1fa-4e06-ac9d-82e34a7c56bb,20000,0,3.0,908000.0,0.0,0.0,0.0,0.0,0.0
52,bldg_bee75f5f-2499-4ea5-9093-6b18a39a16ff,20000,0,5.358200000002398,3222000.0,0.0,0.0,0.0,0.0,0.0
53,bldg_cb1f489e-d1e8-4107-83ce-34a20e5c4de2,20000,0,3.5142999999952735,696771.5868275019,0.0,0.0,0.0,0.0,0.0
54,bldg_86adcf80-e312-4e6d-a243-855946ebe06c,20000,0,2.4121999999988475,5019783.330183348,0.0,0.0,0.0,0.0,0.0
55,bldg_72247a52-e073-445e-8aee-8575bd0d0956,20000,0,3.7232999999978347,1168000.0,0.0,0.0,0.0,0.0,0.0
56,bldg_844e9d9c-0619-4d2f-ae12-eb975812543c,20000,0,3.430999999996857,2472000.0,0.0,0.0,0.0,0.0,0.0
57,bldg_8e42692d-1027-4b7b-b821-9734c09e6c40,20000,0,3.0,523198.71347547136,0.0,0.0,0.0,0.0,0.0
58,bldg_4963919f-7e82-401d-b483-3327777e8ba6,20000,0,4.201100000005681,1967596.7387661103,0.0,0.0,0.0,0.0,0.0
59,bldg_88dace96-1c39-4a09-9c0a-92ef98f7d808,20000,0,3.0,214431.63857933396,0.0,0.0,0.0,0.0,0.0
60,bldg_3beaa835-2fc5-4863-8e65-9328c3079e5c,20000,0,1.8106499999994412,3134000.0,0.0,0.0,0.0,0.0,0.0
61,bldg_8d1f6aae-cf0b-4cb2-9be3-3c19e2fb0014,20000,0,2.2217000000018743,2920000.0,0.0,0.0,0.0,0.0,0.0
62,bldg_e40fab15-7d53-4a28-8fa2-eed95717b9e3,20000,0,2.489399999998568,92776508.41091065,0.0,0.0,0.0,0.0,0.0
63,bldg_112c94e1-f871-4e13-bcb5-e902797bab93,20000,0,2.3953499999988708,2204000.0,0.0,0.0,0.0,0.0,0.0
64,bldg_eb5c8011-b15b-46ad-b360-2ffdfe3101fd,20000,0,3.504799999995157,824000.0,0.0,0.0,0.0,0.0,0.0
65,bldg_8076c75a-7c83-441f-a881-b6d4db15b252,20000,0,3.0,396000.0,0.0,0.0,0.0,0.0,0.0
66,bldg_d355f33d-39e0-47ff-87fc-5b07f502d699,20000,0,4.815199999997276,4380000.0,0.0,0.0,0.0,0.0,0.0
67,bldg_b87728c9-ab99-4568-93cc-c11c85240f73,20000,0,3.0,1130000.0,0.0,0.0,0.0,0.0,0.0
68,bldg_36ffe92f-bc4d-423e-99e9-90ac0cef5f07,20000,0,3.871500000008382,2312000.0,0.0,0.0,0.0,0.0,0.0
